Periods,Live births (aantal),Population at end of selected period (aantal),birthrate,birthrate_year
1999 July,17638,15812293,0.001115461,0.013385535
1999 August,17713,15824328,0.001119352,0.013432229
1999 September,17566,15836849,0.001109185,0.013310224
1999 October,16691,15845564,0.001053355,0.012640257
1999 November,15983,15854027,0.001008135,0.01209762
1999 December,16427,15863950,0.001035492,0.012425909
2000 January,17068,15869622,0.001075514,0.012906168
2000 February,16606,15879117,0.001045776,0.012549312
2000 March,17445,15888251,0.001097981,0.013175774
2000 April,16625,15896214,0.001045847,0.012550158
2000 May,17513,15906532,0.001100994,0.013211931
2000 June,16773,15915785,0.001053859,0.012646313
2000 July,17694,15926370,0.001110988,0.013331852
2000 August,18315,15940841,0.001148936,0.013787227
2000 September,17736,15954511,0.001111661,0.013339926
2000 October,17155,15966018,0.00107447,0.012893634
2000 November,16996,15977138,0.00106377,0.01276524
2000 December,16693,15987075,0.001044156,0.012529872
2001 January,17344,15995169,0.001084327,0.013011929
2001 February,15334,16003824,0.000958146,0.011497752
2001 March,16834,16011457,0.001051372,0.012616466
2001 April,15679,16019702,0.000978732,0.011744788
2001 May,17537,16029662,0.001094034,0.013128412
2001 June,17050,16038505,0.001063067,0.0127568
2001 July,17942,16048988,0.001117952,0.013415425
2001 August,17726,16062264,0.00110358,0.013242965
2001 September,17147,16075342,0.001066665,0.012799977
2001 October,17556,16086481,0.001091351,0.013096214
2001 November,16345,16095715,0.001015488,0.012185852
2001 December,16109,16105285,0.001000231,0.012002768
2002 January,17019,16112900,0.001056234,0.012674813
2002 February,15448,16118953,0.000958375,0.011500499
2002 March,16792,16124125,0.001041421,0.01249705
2002 April,15995,16130246,0.000991615,0.011899385
2002 May,16800,16136807,0.001041098,0.012493178
2002 June,16116,16142509,0.000998358,0.011980294
2002 July,18011,16150395,0.001115205,0.013382459
2002 August,17959,16161182,0.001111243,0.013334916
2002 September,17586,16172237,0.001087419,0.01304903
2002 October,17831,16181025,0.00110197,0.013223637
2002 November,16011,16186463,0.00098916,0.011869919
2002 December,16515,16192572,0.001019912,0.012238945
2003 January,17153,16197712,0.001058977,0.012707721
2003 February,15579,16202461,0.000961521,0.011538247
2003 March,16755,16206096,0.00103387,0.012406443
2003 April,16585,16210401,0.001023109,0.012277303
2003 May,16572,16216206,0.001021941,0.012263288
