Airports,Periods,Aircraft movements/Cross-country flights (number),Commercial air traffic/Passengers/Passenger arrivals/Total arrivals passengers (number),Commercial air traffic/Passengers/Passenger arrivals/Scheduled (number),Commercial air traffic/Passengers/Passenger arrivals/Non-scheduled (number)
Total Dutch airports,1999 July,46107,1756699,1461010,295689
Total Dutch airports,1999 August,45084,2014765,1592906,421859
Total Dutch airports,1999 September,44734,1812291,1517400,294891
Total Dutch airports,1999 October,44734,1806100,1539880,266220
Total Dutch airports,1999 November,41721,1459437,1357615,101822
Total Dutch airports,1999 December,38258,1264854,1195387,69467
Total Dutch airports,2000 January,40054,1278929,1197573,81356
Total Dutch airports,2000 February,40602,1289485,1208234,81251
Total Dutch airports,2000 March,43728,1603733,1481100,122633
Total Dutch airports,2000 April,43812,1628248,1484452,143796
Total Dutch airports,2000 May,47975,1845433,1569075,276358
Total Dutch airports,2000 June,46890,1829019,1543713,285306
Total Dutch airports,2000 July,47051,1929467,1579632,349835
Total Dutch airports,2000 August,47748,2150204,1692607,457597
Total Dutch airports,2000 September,45797,1943139,1611100,332039
Total Dutch airports,2000 October,45629,1938661,1626111,312550
Total Dutch airports,2000 November,41583,1511732,1406413,105319
Total Dutch airports,2000 December,38626,1360805,1275978,84827
Total Dutch airports,2001 January,40679,1410283,1321832,88451
Total Dutch airports,2001 February,38034,1304053,1219282,84771
Total Dutch airports,2001 March,43282,1651160,1519697,131463
Total Dutch airports,2001 April,42412,1698837,1559294,139543
Total Dutch airports,2001 May,47094,1880738,1592508,288230
Total Dutch airports,2001 June,45878,1912937,1633168,279769
Total Dutch airports,2001 July,47572,2011002,1646239,364763
Total Dutch airports,2001 August,47484,2235051,1772149,462902
Total Dutch airports,2001 September,44851,1857773,1522226,335547
Total Dutch airports,2001 October,45296,1724265,1428582,295683
Total Dutch airports,2001 November,38072,1370081,1287518,82563
Total Dutch airports,2001 December,35575,1292913,1229708,63205
Total Dutch airports,2002 January,37212,1336776,1266989,69787
Total Dutch airports,2002 February,34855,1312182,1232929,79253
Total Dutch airports,2002 March,41176,1634148,1525634,108514
Total Dutch airports,2002 April,41507,1650092,1519007,131085
Total Dutch airports,2002 May,44640,1953393,1653083,300310
Total Dutch airports,2002 June,43941,1878689,1615823,262866
Total Dutch airports,2002 July,45846,2034750,1693380,341370
Total Dutch airports,2002 August,44950,2238757,1813099,425658
Total Dutch airports,2002 September,44673,1996530,1693497,303033
Total Dutch airports,2002 October,43582,1964088,1662010,302078
Total Dutch airports,2002 November,38583,1496868,1407547,89321
Total Dutch airports,2002 December,35354,1418289,1348548,69741
Total Dutch airports,2003 January,35932,1427419,1353586,73833
Total Dutch airports,2003 February,34626,1346064,1271069,74995
Total Dutch airports,2003 March,40119,1576809,1472300,104509
Total Dutch airports,2003 April,38602,1496581,1390511,106070
Total Dutch airports,2003 May,41720,1782708,1526372,256336
Total Dutch airports,2003 June,41570,1822519,1584522,237997
Total Dutch airports,2003 July,43508,2010027,1658369,351658
Total Dutch airports,2003 August,42849,2221070,1801652,419418
Total Dutch airports,2003 September,42559,1931401,1668964,262437
Total Dutch airports,2003 October,42263,1989708,1694341,295367
Total Dutch airports,2003 November,37111,1538955,1434386,104569
Total Dutch airports,2003 December,34749,1431518,1347966,83552
Total Dutch airports,2004 January,34596,1424496,1324764,99732
Total Dutch airports,2004 February,35051,1439234,1337476,101758
Total Dutch airports,2004 March,40590,1718281,1599375,118906
Total Dutch airports,2004 April,40489,1773840,1642186,131654
Total Dutch airports,2004 May,44369,2049899,1737828,312071
Total Dutch airports,2004 June,43337,2001351,1746517,254834
Total Dutch airports,2004 July,44879,2137750,1803996,333754
Total Dutch airports,2004 August,43876,2350963,1932501,418462
Total Dutch airports,2004 September,43915,2067063,1796662,270401
Total Dutch airports,2004 October,44602,2105582,1785945,319637
Total Dutch airports,2004 November,38044,1626629,1522620,104009
Total Dutch airports,2004 December,36228,1513011,1441635,71376
Total Dutch airports,2005 January,36010,1553002,1451899,101103
Total Dutch airports,2005 February,34287,1471477,1376559,94918
Total Dutch airports,2005 March,38732,1727088,1623415,103673
Total Dutch airports,2005 April,41483,1822611,1712095,110516
Total Dutch airports,2005 May,44864,2159477,1850497,308980
Total Dutch airports,2005 June,44337,2081012,1840554,240458
Total Dutch airports,2005 July,44977,2243374,1914354,329020
Total Dutch airports,2005 August,44907,2459777,2038916,420861
Total Dutch airports,2005 September,43757,2181782,1910148,271634
Total Dutch airports,2005 October,43772,2180117,1872414,307703
Total Dutch airports,2005 November,37810,1678268,1597235,81033
Total Dutch airports,2005 December,35240,1564959,1501118,63841
Total Dutch airports,2006 January,36657,1600916,1514349,86567
Total Dutch airports,2006 February,34127,1478158,1396627,81531
Total Dutch airports,2006 March,40551,1801205,1707361,93844
Total Dutch airports,2006 April,41853,1947062,1838525,108537
Total Dutch airports,2006 May,46944,2237114,1933956,303158
Total Dutch airports,2006 June,46830,2239408,1962255,277153
Total Dutch airports,2006 July,47696,2346390,1991524,354866
Total Dutch airports,2006 August,46340,2561406,2131383,430023
Total Dutch airports,2006 September,46388,2281805,1984615,297190
Total Dutch airports,2006 October,46706,2250255,1993610,256645
Total Dutch airports,2006 November,41776,1777377,1698235,79142
Total Dutch airports,2006 December,38284,1678294,1614566,63728
Total Dutch airports,2007 January,38938,1697485,1622225,75260
Total Dutch airports,2007 February,37363,1582442,1515733,66709
Total Dutch airports,2007 March,43894,1974602,1881873,92729
Total Dutch airports,2007 April,44544,2015658,1913332,102326
Total Dutch airports,2007 May,47788,2293318,2020128,273190
Total Dutch airports,2007 June,46757,2254865,2023949,230916
Total Dutch airports,2007 July,48188,2424836,2102902,321934
Total Dutch airports,2007 August,48354,2703161,2275661,427500
Total Dutch airports,2007 September,46720,2352209,2082829,269380
Total Dutch airports,2007 October,47439,2359933,2098108,261825
Total Dutch airports,2007 November,40572,1833621,1761078,72543
Total Dutch airports,2007 December,38444,1734500,1664846,69654
Total Dutch airports,2008 January,39375,1719180,1648140,71040
Total Dutch airports,2008 February,38529,1654896,1586693,68203
Total Dutch airports,2008 March,42020,2008137,1918276,89861
Total Dutch airports,2008 April,44762,1986749,1889589,97160
Total Dutch airports,2008 May,48260,2414857,2139689,275168
Total Dutch airports,2008 June,47627,2314121,2065402,248719
Total Dutch airports,2008 July,48596,2474763,2126879,347884
Total Dutch airports,2008 August,46873,2655629,2258046,397583
Total Dutch airports,2008 September,46873,2298267,2046553,251714
Total Dutch airports,2008 October,46155,2311797,2068005,243792
Total Dutch airports,2008 November,37594,1736355,1668150,68205
Total Dutch airports,2008 December,35284,1632437,1576578,55859
Total Dutch airports,2009 January,35197,1564965,1510689,54276
Total Dutch airports,2009 February,32926,1432485,1374791,57694
Total Dutch airports,2009 March,38434,1719615,1656359,63256
Total Dutch airports,2009 April,40492,1886896,1804677,82219
Total Dutch airports,2009 May,43098,2122143,1900220,221923
Total Dutch airports,2009 June,42370,2073981,1877070,196911
Total Dutch airports,2009 July,44471,2275515,1977774,297741
Total Dutch airports,2009 August,44140,2553928,2173702,380226
Total Dutch airports,2009 September,42252,2170571,1941068,229503
Total Dutch airports,2009 October,41718,2164348,1954140,210208
Total Dutch airports,2009 November,35808,1695362,1630793,64569
Total Dutch airports,2009 December,33606,1620230,1564696,55534
